title,brand,three_star,four_star,five_star,reviewsCount,price,productPosition
"Meiidoshine 6 Pack Valentines Day Coffee Gift Card Holders, Teacher Valentine Gift Card Holder, Coffee Cup Giftcard Holder Appreciation Present for Teachers School Office Colleagues Staff Nurses",Meiidoshine,0,0.39,0.61,3,13.99,70
VANLOVEMAC Couples Matching Stuff Gifts for Boyfriend Girlfriend Valentine's Day Gifts for Couple Best Friends Him Her,VANLOVEMAC,0.03,0.1,0.84,384,9.99,90
"SAPGIF Valentines Day Gifts for Her, Funny 12 OZ Coffee Mug Gifts for Girlfriend Wife from Boyfriend Husband Him, Cute Stuff for Women Her, Naughty Valentines Presents Gift Ideas",SAPGIF,0,0,0.72,10,11.99,83
"Childom Valentines Day Gifts for Her,Birthday Gifts for Women,Artificial Preserved Flowers,Valentines Gifts for Mom Wife Girlfriend Grandma,Valentines Colorful Rainbow Light Up Rose in A Glass Dome",Childom,0.04,0.1,0.83,18440,,69
ORIENTAL CHERRY Valentines Day Gifts for Kids - 24 Valentines Cards with Pop Bubbles Bulk- Valentine Exchange for Girls Boys School Class Classroom Fidget Toys Party Favors,ORIENTAL CHERRY,0.05,0.1,0.83,675,13.99,78
"Hallmark Paper Wonder Musical Peanuts Pop Up Valentines Day Card (Plays Linus and Lucy), 999VCG1021",Hallmark,0.02,0.07,0.88,1898,9.49,75
"LIGHT UP & POP UP Valentines Day Card Plays Music from 'Unchained Melody' - Romantic Happy Valentines Card for Him & Her - Valentines Card for Husband & Wife, Boyfriend or Girlfriend - 1 Pop Up Card",100 GREETINGS,0.03,0.07,0.86,3525,16.95,77
"Birthday Gifts for Women, Relaxing Spa Gift Basket Set, Unique Gift Ideas for Women, Valentines Day Gifts for Her Mom Sister Best Friend Wife, Coworker Teacher Nurse Gifts for Women",EUASOO,0.04,0.09,0.85,1580,22.11,73
"30 Pack Valentines Day Gifts for Kids, Mini Mochi Squishy Toys Set with Valentines Day Cards, Kids Valentine School Classroom Party Favor Stress Fidget Toys Bulk, Valentine's Day Party Exchange Gift",Feltom,0.06,0.18,0.65,51,13.99,67
"Humorous Valentine's Day Card for Snoring Husband, Happy Vday Gifts Cards for Husband Wife Women Men, Snoring Loud Next To me Bday Card",Huameigf,0.03,0.08,0.89,97,6.99,68
"ChocZero Keto Chocolate Truffle Gift - Premium Healthy Chocolates - Low Carb Present - Zero Sugar Valentine's Day Hazelnut Truffles - 16 Truffles, 8.5 Ounces Total",ChocZero,0.05,0.1,0.77,370,,64
"HERSHEY'S HUGS & KISSES Assorted Flavored, Valentine's Day Candy Bag, 23.5 oz",HERSHEY'S,0.04,0.09,0.85,1647,,61
"Kinder Bueno Mini, Milk Chocolate and Hazelnut Cream, Valentine's Day Gift, Individually Wrapped Chocolate Bars, 5.7 oz",Kinder Bueno,0.02,0.06,0.88,11111,,63
"DUALFUN 24Packs Valentines Day Gifts for Kids, POP IT Valentines Cards with Keychains, Valentines Day Cards for Kids School Classroom Exchange Party Favors",DUALFUN,0.07,0.06,0.87,23,20.98,95
"Confucia 32 Pack Valentine's Day Gifts Prefilled Mini Heart-Shaped Fidget Pop Toys, Perfect for Kids' Party Favors,School Gifts Exchange,Classroom Prizes, Safe & Scent-Free Keychain with Cards",Confucia,0,0,0,,16.99,55
"Gifts for Women, Mom - Relaxing Spa Gift Basket for Birthday, Gifts for Women, Mothers Day, Valentines Day, Christmas, Unique Gift ideas for Sister, Wife, Grandma, Gifts for Women Who Have Everything",CITTA,0.02,0.08,0.88,567,,81
"Hallmark 15"" Extra Large Gift Bag with Tissue Paper (Happy Valentine's Day) for Kids, Teachers, Spouses",Hallmark,0.04,0.09,0.83,837,6.99,74
"Godiva Chocolatier Valentine’s Day Heart Chocolate Gift Box - 14 Piece Assorted Milk, White and Dark Chocolate with Gourmet Fillings – Elegant Treat for Women or Men",Godiva Chocolatier,0.06,0.11,0.79,845,32.25,49
"90PCS Prefilled Valentines Cards with Pop Fidget Toys Bulk-Valentines Day Gifts for Kids,Valentine Exchange Gift for Classroom,School Party Favors for Kids,Mini Pop Keychain,Valentine's Day Prize Toys",BicMan,0.04,0.12,0.81,223,9.99,57
"U UQUI Preserved Real Rose with I Love You Heart Necklace 100 Languages, Valentines Day Gifts for Her, Birthday Gifts for Women Mom Girlfriend Wife,Forever Eternal Flower for Anniversary, Red Roses",U UQUI,0.05,0.12,0.77,1495,25.99,100
"Hallmark 13"" Large Valentine's Day Gift Bags with Tissue Paper (2 Bags: Vintage Red Truck, Black and White Stripes) for Adults, Spouse, Husband, Boyfriend",Hallmark,0.02,0.1,0.85,282,5.99,62
"Ferrero Collection, 16 Count, Assorted Milk and Dark Chocolate Hazelnut and Coconut, Valentine's Chocolate, 6.1 oz",Ferrero Rocher,0.03,0.09,0.85,29239,,86
"28 Packs Valentines Day Greeting Cards with Cute Mochi Squishies Toys for Kids Stress Relief Valentine Exchange Gifts, Valentine Classroom Prizes Party Favors",DINESIL,0.09,0.15,0.7,215,,80
"Valentines Day Gifts for Kids 28 Pack Assorted Valentines Day Stationery Set, Valentines Cards Valentines Pencils Erasers Notepads, Valentine Treat Bags Goodie Bags Fillers Valentines Favors for Kids",AOJOYS,0.08,0.08,0.77,111,14.99,109
"Valentines Day Gifts for Her, Funny Romantic Naughty Gifts for Her Tin Soy Candles Stress Relief Unique Gifts Ideas for Girlfriend Wife Women, 9oz Scented Candles",TGOOD,0.07,0.13,0.7,478,22.98,71
MEADIN Valentines Day Gifts for Kids - 32 Pack Prefilled Heart Pop Fidget Valentines Day Cards for Kids School - Valentine Exchange Cards for Boys Girls Classroom Class Gifts Party Favors,MEADIN,0,0.1,0.9,33,15.99,66
Couples Gifts Cute Keychain for Boyfriend Girlfriend Best Friend Christmas Valentines Day Matching Couple Stuff for Wife Husband Him Her Cat Lover Fiancée Anniversary Birthday Wedding Present Keyring,VANLOVEMAC,0.04,0.1,0.84,1043,13.99,128
"Valentines Day Love Gifts for Him Husband Boyfriend - Gifts for Him, Mens Valentines Gifts, 17 oz Insulated Tumbler - Anniversary Birthday Gifts for Him Men - Husband Gifts from Wife",risadas,0.04,0.12,0.77,263,8.99,133
"Valentines Day Gifts for Her, Galaxy Glass Rose Flower Forever Eternal Crystal Light Up Rose in Glass Dome with Butterfly Birthday Gifts for Women Mom Wife Girlfriend Grandma Purple",Pusuny,0.04,0.08,0.85,734,19.99,116
"llxxeyopqdxz Husband Birthday Card From Wife, Wallet Insert Card, Anniversary Valentine Gifts for Men or Women, Love Gift for Him, Her, Boyfriend, Girlfriend, Birthday Gifts for Wife Husband",llxxeyopqdxz,0.07,0.12,0.74,227,4.88,127
"JELMOK Valentines Day Cards for Kids School, 32 Set Valentine Day Gifts Exchange Cards Crazy Straws Bulk for Kids, Valentine's Day Cards for Class Classroom Boys Girls Party Favors (#2)",JELMOK,0,0,0.79,33,12.99,111
Lebana Preserved Red Real Rose with I Love You Necklace - Birthday Gifts for Her Mom Wife Girlfriend Valentines Day Gifts For Her Mothers Day -Red,Lebana,0.07,0.16,0.72,167,65.99,138
